block_idx,uop_idx,opcode,elem_w,data_w,cont_w,addr_w,raw_operands
0,0,not,64,64,0,0,r8
0,1,add,64,64,0,0,r8 r15
1,0,sub,32,32,0,0,edx ecx
1,1,mov,32,32,0,64,dword ptr [rsp+0xc0] edx
2,0,lea,64,64,0,0,rbp ptr [r8+rdx*1]
2,1,movzx,8,32,0,64,ecx byte ptr [rbp]
3,0,mov,32,32,0,64,eax dword ptr [rip+0x2a233]
3,1,cdqe,64,64,0,0,
4,0,lea,64,64,0,0,rdx ptr [rip+0x7f3e]
4,1,movzx,8,32,0,64,eax byte ptr [rax+rdx*1]
5,0,movsx,8,32,0,0,eax al
5,1,mov,32,32,0,0,edi eax
6,0,mov,32,32,0,64,eax dword ptr [rip+0x2a107]
6,1,add,32,32,0,0,eax 0x1
6,2,mov,32,32,0,64,dword ptr [rip+0x2a0fe] eax
7,0,add,64,64,0,0,rdx r11
7,1,movzx,8,32,0,64,esi byte ptr [rdx]
8,0,add,64,64,0,64,rdx qword ptr [rbx]
8,1,movzx,8,32,0,64,eax byte ptr [rdx]
8,2,lea,64,64,0,0,r10 ptr [rip+0x15f7f]
8,3,movzx,8,32,0,64,eax byte ptr [rdx+0x2]
8,4,movzx,8,32,0,64,ecx byte ptr [rdx+0x1]
8,5,xor,32,32,0,64,ecx dword ptr [r10+rax*4]
8,6,mov,32,32,0,64,r10d dword ptr [r10+r15*4]
8,7,movzx,8,32,0,64,r15d byte ptr [rdx+0x3]
8,8,shl,32,32,0,0,eax 0x8
8,9,xor,32,32,0,0,eax ecx
8,10,and,32,32,0,0,ecx 0x3ff
8,11,shl,32,32,0,0,r10d 0x5
8,12,xor,32,32,0,0,eax r10d
8,13,and,32,32,0,64,eax dword ptr [rbx+0x58]
8,14,mov,32,32,0,64,r10d dword ptr [r10+rax*4]
8,15,add,32,32,0,0,eax 0x10400
9,0,mov,64,64,0,64,rdi qword ptr [rsp+0x30]
9,1,lea,64,64,0,0,rax ptr [r11+0x1]
9,2,cmp,64,64,0,0,rdi rax
9,3,cmovb,64,64,0,0,rdi rax
9,4,mov,64,64,0,64,qword ptr [rsp+0x30] rdi
10,0,mov,32,32,0,64,r9d dword ptr [rsp+0x64]
10,1,and,32,32,0,0,r9d eax
11,0,mov,32,32,0,0,ecx 0x800
11,1,sub,32,32,0,0,ecx r11d
11,2,shr,32,32,0,0,ecx 0x5
11,3,add,32,32,0,0,ecx r11d
12,0,mov,32,32,0,64,ecx dword ptr [rsp+0x68]
12,1,and,32,32,0,0,ecx eax
13,0,mov,32,32,0,64,r13d dword ptr [rsp+0x6c]
13,1,test,64,64,0,0,rax rax
13,2,mov,32,32,0,0,esi r13d
13,3,shlx,64,64,0,0,r11 rcx rsi
13,4,cmovnz,64,64,0,0,rcx r9
13,5,mov,32,32,0,0,esi 0x8
13,6,add,64,64,0,64,rcx qword ptr [rsp+0x50]
13,7,movzx,8,32,0,64,ecx byte ptr [rcx+rdi*1]
13,8,sub,32,32,0,0,esi r13d
13,9,sarx,32,32,0,0,ecx ecx esi
13,10,movsxd,32,64,0,0,rcx ecx
13,11,add,64,64,0,0,rcx r11
14,0,lea,64,64,0,0,rcx ptr [rcx+rcx*2]
14,1,shl,64,64,0,0,rcx 0x9
15,0,lea,64,64,0,0,rsi ptr [rbx+rcx*1]
15,1,mov,64,64,0,64,qword ptr [rsp+0x18] rsi
16,0,lea,64,64,0,0,rbx ptr [r9+rax*1]
16,1,mov,64,64,0,64,qword ptr [rsp-0x28] rbx
17,0,sub,64,64,0,0,rax r12
17,1,sar,64,64,0,0,rax 0x3
18,0,mov,64,64,0,64,rsi qword ptr [rsp-0x10]
18,1,add,64,64,0,0,rsi 0x8
18,2,mov,64,64,0,64,qword ptr [rsp-0x10] rsi
19,0,lea,32,32,0,0,eax ptr [r11+0x4]
19,1,mov,32,32,0,64,dword ptr [rsi+0x10efc] eax
20,0,movzx,16,32,0,64,eax word ptr [rdi+rax*2]
20,1,mov,32,32,0,0,r10d edx
20,2,and,32,32,0,0,r10d 0x1
20,3,neg,32,32,0,0,r10d
20,4,and,32,32,0,0,r10d 0x7ff
20,5,xor,32,32,0,0,eax r10d
20,6,shr,32,32,0,0,eax 0x4
21,0,movzx,8,32,0,64,eax byte ptr [r14+rax*1]
21,1,add,32,32,0,0,ecx eax
22,0,mov,64,64,0,64,r8 qword ptr [rbx]
22,1,mov,64,64,0,0,rdi r8
22,2,shr,64,64,0,0,rdi 0x20
23,0,movzx,8,32,0,64,edx byte ptr [rbx+0x14]
23,1,add,32,32,0,0,edx edi
24,0,mov,64,64,0,0,rax r8
24,1,shr,64,64,0,0,rax 0x18
25,0,shl,32,32,0,0,esi 0x8
25,1,mov,32,32,0,64,dword ptr [rbx+0x10] esi
26,0,mov,64,64,0,0,rax rdi
26,1,mov,32,32,0,0,ecx 0x8
26,2,and,32,32,0,64,esi dword ptr [rax+0xb98]
26,3,mov,32,32,0,64,edi dword ptr [rdi+0xb94]
26,4,sub,32,32,0,0,ecx edi
26,5,shrx,32,32,0,0,edx edx ecx
26,6,shlx,32,32,0,0,esi esi edi
26,7,add,32,32,0,0,edx esi
26,8,mov,32,32,0,0,edx edx
27,0,lea,64,64,0,0,rdx ptr [rdx+rdx*2]
27,1,shl,64,64,0,0,rdx 0x9
28,0,mov,32,32,0,64,eax dword ptr [rsp+0x38]
28,1,sub,32,32,0,64,eax dword ptr [rsp-0x18]
28,2,mov,32,32,0,64,dword ptr [rsp-0x14] eax
28,3,mov,32,32,0,0,r10d ecx
28,4,mov,32,32,0,64,eax dword ptr [rsp-0x14]
28,5,add,32,32,0,0,eax r10d
29,0,lea,32,32,0,0,edx ptr [rax+r14*1]
29,1,mov,32,32,0,0,edi esi
29,2,cmp,32,32,0,64,dword ptr [rsp+0x38] edi
29,3,cmovb,32,32,0,0,eax edx
29,4,add,32,32,0,0,eax eax
29,5,mov,32,32,0,0,eax edi
30,0,xor,32,32,0,0,r13d r13d
30,1,xor,32,32,0,0,r12d r12d
30,2,mov,32,32,0,0,eax r13d
30,3,cmp,32,32,0,0,r12d r13d
30,4,cmovbe,32,32,0,0,eax r12d
30,5,mov,32,32,0,0,edx eax
31,0,mov,64,64,0,64,rax qword ptr [rsp+0x48]
31,1,mov,64,64,0,0,r11 rdx
31,2,mov,64,64,0,0,r8 r11
31,3,sub,64,64,0,0,r8 rax
31,4,movzx,8,32,0,64,esi byte ptr [r11+rdx*1]
31,5,movzx,8,32,0,64,ecx byte ptr [r8+rdx*1]
31,6,mov,64,64,0,64,qword ptr [rsp-0x10] rax
32,0,mov,32,32,0,0,r9d 0x3
32,1,cmp,32,32,0,0,r8d r9d
32,2,cmovb,32,32,0,0,r8d r9d
33,0,mov,32,32,0,64,eax dword ptr [rbx+0x18]
33,1,mov,32,32,0,64,ecx dword ptr [rsp+0xc0]
33,2,mov,32,32,0,64,dword ptr [rsp+0xe8] eax
33,3,mov,32,32,0,0,edx 0xfff
33,4,mov,32,32,0,0,r10d ecx
33,5,mov,32,32,0,64,eax dword ptr [rbx+0x24]
33,6,mov,32,32,0,64,dword ptr [rsp+0xd8] eax
33,7,inc,32,32,0,0,eax
33,8,sub,32,32,0,64,eax dword ptr [rsp+0xe8]
33,9,sub,32,32,0,0,edx ecx
33,10,cmp,32,32,0,0,eax edx
33,11,cmovbe,32,32,0,0,edx eax
33,12,add,32,32,0,0,eax ecx
33,13,mov,32,32,0,64,dword ptr [rsp+0xa0] eax
33,14,mov,32,32,0,64,eax dword ptr [rsp+0xe8]
